Région,Ville,Date d'incident,Groupe d'âge,Nombre affecté,Aliment suspecté,Symptômes,Gravité,Hospitalisé,Type de traitement,Résultat,Inspection effectuée,Source alimentaire,Cause confirmée,Bactérie détectée,Actions de suivi
Tanger-Tétouan-Al Hoceïma,Al Hoceïma,2024-06-28,60+,49,Poulet mal cuit,Nausée,Léger,30,Hydratation,Fatal,Non,Restaurant,Non,Aucun,Sanctions légales ou fermetures temporaires
Tanger-Tétouan-Al Hoceïma,Larache,2024-01-03,41-60,33,Poisson avarié,Douleur abdominale,Sévère,4,Aucun,Fatal,Oui,Domicile,Non,Aucun,Renforcement des contrôles réguliers
Fès-Meknès,Ifrane,2024-10-17,41-60,10,Salade contaminée,Diarrhée,Modéré,9,Antibiotiques,Rétabli,Oui,Vendeur ambulant,Oui,Aucun,Inspection sanitaire approfondie
Casablanca-Settat,Casablanca,2024-04-16,60+,10,Dessert non réfrigéré,Vomissements,Léger,9,Aucun,Fatal,Non,Fast-food,Oui,Salmonelle,Sanctions légales ou fermetures temporaires
Souss-Massa,Inezgane,2024-07-26,-12,33,Poisson avarié,Douleur abdominale,Léger,11,Les deux,Rétabli,Non,Restaurant,Non,Salmonelle,Mise en conformité des normes d'hygiène
Casablanca-Settat,Berrechid,2024-04-30,-12,15,Poisson avarié,Diarrhée,Modéré,14,Antibiotiques,Rétabli,Oui,Vendeur ambulant,Oui,E. coli,Formation obligatoire du personnel alimentaire
Souss-Massa,Taroudant,2024-05-26,25-40,15,Poisson avarié,Nausée,Léger,12,Aucun,Rétabli,Non,Fast-food,Oui,Listeria,Mise en conformité des normes d'hygiène
Fès-Meknès,Ifrane,2024-02-19,41-60,14,Poulet mal cuit,Nausée,Léger,12,Aucun,Fatal,Oui,Domicile,Non,Listeria,Sanctions légales ou fermetures temporaires
Fès-Meknès,Ifrane,2024-10-30,-12,8,Poisson avarié,Diarrhée,Léger,1,Hydratation,Fatal,Oui,Domicile,Oui,Aucun,Inspection sanitaire approfondie
Marrakech-Safi,Youssoufia,2024-06-27,60+,6,Poulet mal cuit,Diarrhée,Modéré,3,Antibiotiques,Fatal,Oui,Vendeur ambulant,Non,Aucun,Mise en conformité des normes d'hygiène
Marrakech-Safi,Safi,2024-03-12,41-60,39,Poulet mal cuit,Douleur abdominale,Modéré,20,Antibiotiques,Rétabli,Non,Vendeur ambulant,Non,Aucun,Inspection sanitaire approfondie
Tanger-Tétouan-Al Hoceïma,Tangier,2024-06-17,25-40,49,Salade contaminée,Douleur abdominale,Sévère,11,Antibiotiques,Fatal,Oui,Domicile,Non,Salmonelle,Sanctions légales ou fermetures temporaires
Casablanca-Settat,Mohammedia,2024-07-11,60+,4,Dessert non réfrigéré,Douleur abdominale,Modéré,0,Aucun,Fatal,Oui,Domicile,Non,Salmonelle,Formation obligatoire du personnel alimentaire
Souss-Massa,Agadir,2024-08-10,60+,8,Poisson avarié,Diarrhée,Modéré,2,Hydratation,Rétabli,Non,Fast-food,Oui,Salmonelle,Formation obligatoire du personnel alimentaire
Souss-Massa,Chtouka Ait Baha,2024-03-15,60+,22,Nourriture de rue contaminée,Nausée,Sévère,18,Aucun,Rétabli,Oui,Fournisseur industriel,Non,Salmonelle,Renforcement des contrôles réguliers
